First Name,Last Name,Age,Gender,Team,Event 1,Event 2,Event 3,Medley,Free
Joe,Smith,5,m,hab,fly,breast,free,yes,yes
John,Johnson,6,m,hab,back,breast,free,no,no
Sue,Williams,7,f,hab,back,fly,breast,yes,yes
Sally,Brown,8,f,hab,back,breast,free,no,no
Alice,Jones,9,f,hab,fly,back,breast,yes,yes
Aiden,Garcia,10,m,hab,fly,breast,free,no,no
Marty,Miller,11,m,hab,back,free,breast,yes,yes
Bill,Davis,12,m,hab,back,breast,free,no,no
Gretchen,Rodriguez,13,f,hab,free,fly,breast,yes,yes
Katie,Martinez,14,f,hab,back,breast,free,yes,yes
Aidan,Hernandez,5,m,hab,back,free,breast,yes,no
Faith,Wilson,6,f,hab,fly,free,back,yes,no
Harry,Anderson,7,m,hab,fly,breast,back,no,no
Hayden,Thomas,8,m,hab,back,free,breast,yes,yes
Annabel,Taylor,9,f,hab,back,free,fly,no,yes
Molly,Moore,10,f,hab,fly,back,free,yes,no
Ruthie,Jackson,11,f,hab,back,breast,free,no,yes
Owen,Perez,12,m,hab,back,free,fly,yes,yes
Janet,Farmer,9,f,hab,free,back,fly,no,no
Max,Volpe,10,f,eff,breast,fly,free,no,yes
Grant,Black,9,f,eff,fly,breast,free,yes,no
Stephanie,White,10,f,hab,fly,back,free,yes,yes
